ucdp_country,ucdp_normalized,world_bank_country_code,world_bank_country_name,world_bank_normalized,similarity_score,match_type,review_status,include_in_merge,review_notes
Palau,palau,PLW,Palau,palau,1.0,exact_normalized,auto_accepted,True,
Panama,panama,PAN,Panama,panama,1.0,exact_normalized,auto_accepted,True,
Papua New Guinea,papua new guinea,PNG,Papua New Guinea,papua new guinea,1.0,exact_normalized,auto_accepted,True,
Paraguay,paraguay,PRY,Paraguay,paraguay,1.0,exact_normalized,auto_accepted,True,
Peru,peru,PER,Peru,peru,1.0,exact_normalized,auto_accepted,True,
Philippines,philippines,PHL,Philippines,philippines,1.0,exact_normalized,auto_accepted,True,
Poland,poland,POL,Poland,poland,1.0,exact_normalized,auto_accepted,True,
Portugal,portugal,PRT,Portugal,portugal,1.0,exact_normalized,auto_accepted,True,
Qatar,qatar,QAT,Qatar,qatar,1.0,exact_normalized,auto_accepted,True,
Romania,romania,ROU,Romania,romania,1.0,exact_normalized,auto_accepted,True,
Russia (Soviet Union),russia (soviet union),RUS,Russian Federation,russian federation,0.6154,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Rwanda,rwanda,RWA,Rwanda,rwanda,1.0,exact_normalized,auto_accepted,True,
Saint Kitts and Nevis,saint kitts and nevis,KNA,St. Kitts and Nevis,st kitts and nevis,0.9231,high_similarity,manual_review,True,Manual country mapping reviewed.
Saint Lucia,saint lucia,LCA,St. Lucia,st lucia,0.8421,medium_similarity,manual_review,True,Manual country mapping reviewed.
Saint Vincent and the Grenadines,saint vincent and grenadines,VCT,St. Vincent and the Grenadines,st vincent and grenadines,0.9434,high_similarity,manual_review,True,Manual country mapping reviewed.
Samoa (Western Samoa),samoa (western samoa),WSM,Samoa,american samoa,0.6286,needs_manual_review,manual_review,True,Manual country mapping reviewed.
San Marino,san marino,SMR,San Marino,san marino,1.0,exact_normalized,auto_accepted,True,
Sao Tome and Principe,sao tome and principe,STP,Sao Tome and Principe,sao tome and principe,1.0,exact_normalized,auto_accepted,True,
Saudi Arabia,saudi arabia,SAU,Saudi Arabia,saudi arabia,1.0,exact_normalized,auto_accepted,True,
Senegal,senegal,SEN,Senegal,senegal,1.0,exact_normalized,auto_accepted,True,
Serbia (Yugoslavia),serbia (yugoslavia),SRB,Serbia,sri lanka,0.5,needs_manual_review,manual_review_historical_approximation,True,Manual country mapping reviewed.
Seychelles,seychelles,SYC,Seychelles,seychelles,1.0,exact_normalized,auto_accepted,True,
Sierra Leone,sierra leone,SLE,Sierra Leone,sierra leone,1.0,exact_normalized,auto_accepted,True,
Singapore,singapore,SGP,Singapore,singapore,1.0,exact_normalized,auto_accepted,True,
Slovakia,slovakia,SVK,Slovak Republic,slovenia,0.75,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Slovenia,slovenia,SVN,Slovenia,slovenia,1.0,exact_normalized,auto_accepted,True,
Solomon Islands,solomon islands,SLB,Solomon Islands,solomon islands,1.0,exact_normalized,auto_accepted,True,
Somalia,somalia,SOM,"Somalia, Fed. Rep.",mali,0.7273,needs_manual_review,manual_review,True,Manual country mapping reviewed.
South Africa,south africa,ZAF,South Africa,south africa,1.0,exact_normalized,auto_accepted,True,
South Korea,south korea,KOR,"Korea, Rep.",south africa,0.6957,needs_manual_review,manual_review,True,Manual country mapping reviewed.
South Sudan,south sudan,SSD,South Sudan,south sudan,1.0,exact_normalized,auto_accepted,True,
Spain,spain,ESP,Spain,spain,1.0,exact_normalized,auto_accepted,True,
Sri Lanka,sri lanka,LKA,Sri Lanka,sri lanka,1.0,exact_normalized,auto_accepted,True,
Sudan,sudan,SDN,Sudan,sudan,1.0,exact_normalized,auto_accepted,True,
Suriname,suriname,SUR,Suriname,suriname,1.0,exact_normalized,auto_accepted,True,
Sweden,sweden,SWE,Sweden,sweden,1.0,exact_normalized,auto_accepted,True,
Switzerland,switzerland,CHE,Switzerland,switzerland,1.0,exact_normalized,auto_accepted,True,
Syria,syria,SYR,Syrian Arab Republic,serbia,0.7273,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Taiwan,taiwan,,,thailand,0.7143,needs_manual_review,exclude_no_world_bank_match,False,Excluded from World Bank merge.
Tajikistan,tajikistan,TJK,Tajikistan,tajikistan,1.0,exact_normalized,auto_accepted,True,
Tanzania,tanzania,TZA,Tanzania,tanzania,1.0,exact_normalized,auto_accepted,True,
Thailand,thailand,THA,Thailand,thailand,1.0,exact_normalized,auto_accepted,True,
Togo,togo,TGO,Togo,togo,1.0,exact_normalized,auto_accepted,True,
Tonga,tonga,TON,Tonga,tonga,1.0,exact_normalized,auto_accepted,True,
Trinidad and Tobago,trinidad and tobago,TTO,Trinidad and Tobago,trinidad and tobago,1.0,exact_normalized,auto_accepted,True,
Tunisia,tunisia,TUN,Tunisia,tunisia,1.0,exact_normalized,auto_accepted,True,
Turkey,turkey,TUR,Turkiye,turkiye,0.7692,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Turkmenistan,turkmenistan,TKM,Turkmenistan,turkmenistan,1.0,exact_normalized,auto_accepted,True,
Tuvalu,tuvalu,TUV,Tuvalu,tuvalu,1.0,exact_normalized,auto_accepted,True,
Uganda,uganda,UGA,Uganda,uganda,1.0,exact_normalized,auto_accepted,True,
Ukraine,ukraine,UKR,Ukraine,ukraine,1.0,exact_normalized,auto_accepted,True,
United Arab Emirates,united arab emirates,ARE,United Arab Emirates,united arab emirates,1.0,exact_normalized,auto_accepted,True,
United Kingdom,united kingdom,GBR,United Kingdom,united kingdom,1.0,exact_normalized,auto_accepted,True,
United States of America,united states of america,USA,United States,united states,0.7027,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Uruguay,uruguay,URY,Uruguay,uruguay,1.0,exact_normalized,auto_accepted,True,
Uzbekistan,uzbekistan,UZB,Uzbekistan,uzbekistan,1.0,exact_normalized,auto_accepted,True,
Vanuatu,vanuatu,VUT,Vanuatu,vanuatu,1.0,exact_normalized,auto_accepted,True,
Vatican City State,vatican city state,,,united states,0.5806,needs_manual_review,exclude_no_world_bank_match,False,Excluded from World Bank merge.
Venezuela,venezuela,VEN,"Venezuela, RB",venezuela rb,0.8571,medium_similarity,manual_review,True,Manual country mapping reviewed.
Vietnam (North Vietnam),vietnam (north vietnam),VNM,Viet Nam,viet nam,0.4516,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Yemen (North Yemen),yemen (north yemen),YEM,"Yemen, Rep.",yemen rep,0.5714,needs_manual_review,manual_review_historical_approximation,True,Manual country mapping reviewed.
Yemen (South Yemen),yemen (south yemen),YEM,"Yemen, Rep.",yemen rep,0.5,needs_manual_review,manual_review_historical_approximation,True,Manual country mapping reviewed.
Zambia,zambia,ZMB,Zambia,zambia,1.0,exact_normalized,auto_accepted,True,
Zimbabwe (Rhodesia),zimbabwe (rhodesia),ZWE,Zimbabwe,zimbabwe,0.5926,needs_manual_review,manual_review,True,Manual country mapping reviewed.
